popup_id	category_raw	category_code	priority_rank	ladder_label	note
PU1474	2	2	7	Cat. 2  and Cat. VR	
PU1475	2	2	7	Cat. 2  and Cat. VR	
PU1476	2	2	7	Cat. 2  and Cat. VR	
PU1477	2	2	7	Cat. 2  and Cat. VR	
PU1478	2	2	7	Cat. 2  and Cat. VR	
PU1479	2	2	7	Cat. 2  and Cat. VR	
PU1480	2	2	7	Cat. 2  and Cat. VR	
PU1481	2	2	7	Cat. 2  and Cat. VR	
PU1482	2	2	7	Cat. 2  and Cat. VR	
PU1483	2	2	7	Cat. 2  and Cat. VR	
PU1484	2	2	7	Cat. 2  and Cat. VR	
PU1485	2	2	7	Cat. 2  and Cat. VR	
PU1486	2	2	7	Cat. 2  and Cat. VR	
PU1487	2	2	7	Cat. 2  and Cat. VR	
PU1488	2	2	7	Cat. 2  and Cat. VR	
