row	json_tc_id	json_req_id	F_0907	D_0907	n_diff_vs_json	diff_cols_vs_json	diff_noncorpus_cols_vs_rowsort
329	NR1L-ComfortHMI-197	SWE1-HVAC-104-05	NR1L-ComfortHMI-319	SWE1-HVAC-104-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
330	NR1L-ComfortHMI-198	SWE1-HVAC-104-06	NR1L-ComfortHMI-320	SWE1-HVAC-104-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
331	NR1L-ComfortHMI-199	SWE1-HVAC-104-07	NR1L-ComfortHMI-321	SWE1-HVAC-104-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
332	NR1L-ComfortHMI-200	SWE1-HVAC-104-08	NR1L-ComfortHMI-322	SWE1-HVAC-104-08	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
333	NR1L-ComfortHMI-201	SWE1-HVAC-105-01	NR1L-ComfortHMI-323	SWE1-HVAC-105-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
334	NR1L-ComfortHMI-384	SWE1-HVAC-105-01	NR1L-ComfortHMI-324	SWE1-HVAC-105-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
335	NR1L-ComfortHMI-202	SWE1-HVAC-105-02	NR1L-ComfortHMI-325	SWE1-HVAC-105-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
336	NR1L-ComfortHMI-385	SWE1-HVAC-105-02	NR1L-ComfortHMI-326	SWE1-HVAC-105-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
337	NR1L-ComfortHMI-082	SWE1-HVAC-106-01	NR1L-ComfortHMI-327	SWE1-HVAC-106-01	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
338	NR1L-ComfortHMI-083	SWE1-HVAC-106-02	NR1L-ComfortHMI-328	SWE1-HVAC-106-02	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
339	NR1L-ComfortHMI-084	SWE1-HVAC-106-03	NR1L-ComfortHMI-329	SWE1-HVAC-106-03	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
340	NR1L-ComfortHMI-085	SWE1-HVAC-106-04	NR1L-ComfortHMI-330	SWE1-HVAC-106-04	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
341	NR1L-ComfortHMI-086	SWE1-HVAC-106-05	NR1L-ComfortHMI-331	SWE1-HVAC-106-05	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
342	NR1L-ComfortHMI-087	SWE1-HVAC-106-06	NR1L-ComfortHMI-332	SWE1-HVAC-106-06	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
343	NR1L-ComfortHMI-088	SWE1-HVAC-106-07	NR1L-ComfortHMI-333	SWE1-HVAC-106-07	2	G,P	C,E,O,T,U,V,W,X,Y,Z,AA
