feature	n	family	key	hit_rows	query
time_management	4	HMI Settings List	Lane Warning		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Vibration Strength		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Steering Assist Strength		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Active Lane Management		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Trailer Length for Blind Spot Alert*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Passenger airbag		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Electric Power Steering Default		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Paddle Shifters		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Power Side Step		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Hill Start Assist*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Tire Fill Assist		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Permanently Restore Seat Belt Reminder		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	KeySense		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Adaptive Cruise Control Predictive Speed Adjustment		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Reset Performance Values		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Speed Offset		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Speed Limit Adjustment		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Walk Away Lock		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	lane		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Forward Collision Warning*		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Auto-On Radio		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	EV Sound		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Easy Exit Seats		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Passenger Screen Permissions		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Ready to Drive Pop-Up		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
time_management	4	HMI Settings List	Display Sync		母體=features/time_management/output/FM-WI-FSM-036-A01 STLA 測試用例規範與結果_SWQT STLA Test Case Specification & Result_SWQT_20260825.xlsx（sha8 717d48d8）全分頁全列；key 去 List Item 編號後之設定名，子字串比對
