tc_id	req_id	outline	score	sent_idx	clause_verbatim
NR1L-ComfortHMI-021	SWE1-HVAC-024-04	3.2	1.00	5	Pressing A/C breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C off.
NR1L-ComfortHMI-022	SWE1-HVAC-024-05	3.2	1.00	6	Pressing AUTO brakes MAX DEF (turns MAX DEF off) and the system goes to AUTO.
NR1L-ComfortHMI-023	SWE1-HVAC-024-06	3.2	1.00	7	Similarly, pressing MAX A/C turns MAX DEF off (turns MAX DEF off) and the system goes to MAX A/C.
NR1L-ComfortHMI-024	SWE1-HVAC-024-07	3.2	1.00	4	Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.
NR1L-ComfortHMI-025	SWE1-HVAC-024-07	3.2	1.00	4	Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.
NR1L-ComfortHMI-026	SWE1-HVAC-024-07	3.2	1.00	4	Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.
NR1L-ComfortHMI-027	SWE1-HVAC-024-07	3.2	1.00	4	Changing temperature, recirculation, mode distribution or pressing again MAX DEF breaks MAX DEF (turns MAX DEF off) and the system goes back to the previous manual mode with the A/C on.
NR1L-ComfortHMI-028	SWE1-HVAC-024-08	3.2	1.00	3	Change in fan speed does not break MAX DEF.
NR1L-ComfortHMI-029	SWE1-HVAC-025-01	3.3	1.00	0	C21.) MAX DEF and REAR DEF are available during climate off.
NR1L-ComfortHMI-030	SWE1-HVAC-025-02	3.3	1.00	0	C21.) MAX DEF and REAR DEF are available during climate off.
NR1L-ComfortHMI-031	SWE1-HVAC-026	3.4	1.00	0	C22.) For soft top vehicles such as JL/JT, when configured, the rear defrost button will not appear when not present in the vehicle.
