leaf_id	layer2	layer3	writable	delegate	generatable	stable_core	blocked_layer	blocked_ref	blocker
SWE1-VC-LeftFrontVentedSeat-010	Vented Seat	LeftFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontVentedSeat-011	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-012	Vented Seat	LeftFrontVentedSeat	yes	yes	yes	yes			
SWE1-VC-LeftFrontVentedSeat-013	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-014	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-015	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-016	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-LeftFrontVentedSeat-017	Vented Seat	LeftFrontVentedSeat	no	yes	no	no			writable=B2
SWE1-VC-OneStageHeatedSeat-039	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-040	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-041	Heated Seat	OneStageHeatedSeat	yes	pending	no	no			delegate=pending
SWE1-VC-OneStageHeatedSeat-042	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-043	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-044	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-045	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-046	Heated Seat	OneStageHeatedSeat	yes	pending	no	no			delegate=pending
SWE1-VC-OneStageHeatedSeat-047	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-048	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-049	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-050	Heated Seat	OneStageHeatedSeat	no	pending	no	no			writable=B2|delegate=pending|quoted_form_risk
SWE1-VC-OneStageHeatedSeat-051	Heated Seat	OneStageHeatedSeat	yes	blocked	no	no			delegate=blocked
SWE1-VC-OneStageHeatedSeat-052	Heated Seat	OneStageHeatedSeat	yes	blocked	no	no			delegate=blocked
SWE1-VC-PHEVFeatures-017	Common Features	PHEVFeatures	yes	no	yes	yes			
SWE1-VC-RightFrontHeatedSeat-022	Heated Seat	RightFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontHeatedSeat-023	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-024	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-025	Heated Seat	RightFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontHeatedSeat-026	Heated Seat	RightFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontHeatedSeat-027	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-028	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-029	Heated Seat	RightFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontHeatedSeat-030	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
SWE1-VC-RightFrontHeatedSeat-031	Heated Seat	RightFrontHeatedSeat	yes	yes	yes	yes			
SWE1-VC-RightFrontHeatedSeat-032	Heated Seat	RightFrontHeatedSeat	no	yes	no	no			writable=B2
