# R-G22′ 遷移對照（下放包 57 T69a）：既有引用之 sha8 為舊式（含成因段），改制後 R-G13 之比對一律用 body_sha8。`same=Y` 者其引用不受影響。
ruling_id	old_sha8	new_body_sha8	same	body_kind	source
R-PMH130	ec0c5bbc	751407a8	N	fenced	features/power_moding/RULINGS.md
R-PMH131	d6c7b583	59d7b3bf	N	fenced	features/power_moding/RULINGS.md
R-PMH132	5146bf1f	689f8a47	N	fenced	features/power_moding/RULINGS.md
R-PMH133	f7049b78	dda6347d	N	fenced	features/power_moding/RULINGS.md
R-PMH134	52dbb9c4	a60a0210	N	fenced	features/power_moding/RULINGS.md
R-PMH135	690355b8	15209403	N	fenced	features/power_moding/RULINGS.md
R-PMH136	67d063ff	c76db375	N	fenced	features/power_moding/RULINGS.md
R-PMH137	29cfc891	163f9fe2	N	fenced	features/power_moding/RULINGS.md
R-PMH138	5aa937ef	c5b40610	N	fenced	features/power_moding/RULINGS.md
R-PMH139	6ad53cca	7608f8dc	N	fenced	features/power_moding/RULINGS.md
R-PMH140	72da7ed1	b882e95c	N	fenced	features/power_moding/RULINGS.md
R-PMH141	6837eb35	ded4a8fa	N	fenced	features/power_moding/RULINGS.md
R-PMH142	0a317295	0f5cffa9	N	fenced	features/power_moding/RULINGS.md
R-PMH143	417e2afe	70425673	N	fenced	features/power_moding/RULINGS.md
R-PMH144	66395a74	1be9a336	N	fenced	features/power_moding/RULINGS.md
