lid	sheet	row	function	atlantis_high_signal	atlantis_high_can	atlantis_high_format	atlantis_signal	atlantis_can	atlantis_format	usage_comment	group_label_at_15	flags
AutomaticOilChange	CAN Mapping	0	AutoOilChange	STATUS_CCAN4.OilLifeSts	CAN-B	ATLANTIS 2 bit signal 0 = Normal_Oil_Properties 1 = Oil_Life_Reset 2 = Change_Oil_Required 3 = Not_used	STATUS_CCAN4.OilLifeSts		ATLANTIS 2 bit signal 0 = Normal_Oil_Properties 1 = Oil_Life_Reset 2 = Change_Oil_Required 3 = Not_used	B and C CAN	Atlantis	
AutonomyZEV	CAN Mapping	0	Range in km to compute the distance model	(Moved to AtlMi)			HCP_DISP3.AutonomyZEV			Used on Ducato and ProMaster	Atlantis	
AutoVehHoldSts	CAN Mapping	0		BRAKE_FD_7.AutoVehHoldSts			BRAKE13.AutoVehHoldSts BRAKE7.HNGActive				Atlantis	
AverageTempC	CAN Mapping	0	Ambient Temp C	BCM_FD_10.ExternalTemperatureC	FD	ATLANTIS 9 bit signal (ExternalTemperatureC) -85 - +170 degrees C resolution = 0.5 degrees C 1 bit signal (ExternalTemperatureFailSts) 0 = Fail_not_present 1 = Fail_present	STATUS_BH_BCM2.ExternalTemperatureC STATUS_BH_BCM2.ExternalTemperatureFailSts		ATLANTIS 9 bit signal (ExternalTemperatureC) -85 - +170 degrees C resolution = 0.5 degrees C 1 bit signal (ExternalTemperatureFailSts) 0 = Fail_not_present 1 = Fail_present	AverageTemp	Atlantis	
AverageTempF	CAN Mapping	0	Ambient Temp F	BCM_FD_10.ExternalTemperatureF	FD	ATLANTIS 9 bit signal (ExternalTemperatureF) -121 - +389 degrees F resolution = 1 degrees F 1 bit signal (ExternalTemperatureFailSts) 0 = Fail_not_present 1 = Fail_present	STATUS_BH_BCM2.ExternalTemperatureF STATUS_BH_BCM2.ExternalTemperatureFailSts		ATLANTIS 9 bit signal (ExternalTemperatureF) -121 - +389 degrees F resolution = 1 degrees F 1 bit signal (ExternalTemperatureFailSts) 0 = Fail_not_present 1 = Fail_present		Atlantis	
Avg_Fuel_Econ	CAN Mapping	0									Atlantis	
AvgFuelEcon	CAN Mapping	0	Instantaneous fuel consumption	ENGINE_FD_6.FuelConsumption_GAG	FD	ENGINE_FD_6.FuelConsumption_GAG: 16 bit signal Units are litres/hour Offset = 0 Factor = 0.0022 Range is 0 to 144.1748 SNA = 65535	STATUS_CCAN4.FuelConsumption_GAG		ATLANTIS 16 bit signal 0 - +144.1748 litres/hour resolution = 0.0022 litres/hour		Atlantis	
AvgFuelLevel	CAN Mapping	0	Avg Fuel Level liters	BCM_FD_9.FuelLevel	FD	ATLANTIS 8 bit (FuelLevel) 0 - +255% Resolution = 1% 1 bit signal (FuelLevelFailSts) 0 = Fail_Not_Present 1 = Fail_Present	STATUS_BH_BCM1.FuelLevel STATUS_BH_BCM1.FuelLevelFailSts BODY3.FuelLevel BODY3.FuelLevelFailSts		ATLANTIS 8 bit (FuelLevel) 0 - +255% Resolution = 1% 1 bit signal (FuelLevelFailSts) 0 = Fail_Not_Present 1 = Fail_Present		Atlantis	
AWD_service_stat	CAN Mapping	0	AWD service Lamp	IPC_FD_3.AWD_SERVICE_STAT	FD	0 = Off 1 = On 2 = Blinking 3 = SNA					Atlantis	
AxleLckrEVICDisplay	CAN Mapping	0	Axle Locker EVIC display				N/A				Atlantis	ATL_HIGH_EMPTY
AxleLckrSts/AxlLckrSts	CAN Mapping	0	Axle Locker status	DRIVETRAIN_FD_3.AxleLckr_Stat	FD		N/A				Atlantis	
B_EV_Kilometers	CAN Mapping	0	B_EV_Kilometers								Atlantis	
B_EV_Miles	CAN Mapping	0	B_EV_Miles								Atlantis	
B_Hybrid_Kilometers	CAN Mapping	0	B_Hybrid_Kilometers								Atlantis	
B_Hybrid_Miles	CAN Mapping	0	B_Hybrid_Miles								Atlantis	
B_KMpL	CAN Mapping	0	B_KMpL								Atlantis	
B_MPG	CAN Mapping	0	B_MPG								Atlantis	
B_Total_Dist_Kilometers	CAN Mapping	0	B_Total_Dist_Kilometers								Atlantis	
B_Total_Dist_Miles	CAN Mapping	0	B_Total_Dist_Miles								Atlantis	
B_Total_Dist_Miles B_Total_Dist_Kilometers	CAN Mapping	0		TRIP_B.PartialOdometerBPlus	CAN-B	Atlantis 20 bit signal 0 - 104857.5 km or miles resolution = 0.1 km or miles	TRIP_B.PartialOdometerBPlus		Atlantis 20 bit signal 0 - 104857.5 km or miles resolution = 0.1 km or miles		Atlantis	
Back_Button	CAN Mapping	0	BACK button pressed	CLIMATIC_PANEL.Radio_btn3	CAN-B	1 bit signal 0 = Not_Pressed (Back button) 1 = Pressed (Back button)	CLIMATIC_PANEL.Radio_btn3		1 bit signal 0 = Not_Pressed (Back button) 1 = Pressed (Back button)		Atlantis	
Backlite_Close_RQ	CAN Mapping	0		PTCM_CTRL.Close_Backlite_BurronSts	BH-CAN	0x0 = Pressed 0x1 = No_Pressed	CTRL_PTCM.Close_Backlite_BurronSts	BH-CAN	0x0 = Pressed 0x1 = No_Pressed	AtlHigh -AtlMi- M240- M240BEV-SR22	Atlantis	
Backlite_Fail	CAN Mapping	0		STATUS_PTCM.BackliteFailSts	BH-CAN	0x0 = Fail_Not_Present 0x1 = Fail_Present	PTCM_1.BackliteFailSts	BH-CAN	0x0 = Fail_Not_Present 0x1 = Fail_Present	AtlHigh -AtlMi- M240- M240BEV-SR22	Atlantis	
Backlite_Open_RQ	CAN Mapping	0		PTCM_CTRL.Open_Backlite_BurronSts	BH-CAN	0x0 = Pressed 0x1 = No_Pressed	CTRL_PTCM.Open_Backlite_BurronSts	BH-CAN	0x0 = Pressed 0x1 = No_Pressed	AtlHigh -AtlMi- M240- M240BEV-SR22	Atlantis	
Backlite_Stat	CAN Mapping	0		STATUS_PTCM.BackliteSts	BH-CAN	0x0 = OPEN 0x1 = CLOSED 0x2 = MIDDLE 0x3 = None	PTCM_1.BackliteSts	BH-CAN	0x0 = OPEN 0x1 = CLOSED 0x2 = MIDDLE 0x3 = None	AtlHigh -AtlMi- M240- M240BEV-SR22	Atlantis	
BAT_SOCE	CAN Mapping	0	Traction Battery State of Certified Energy (SOCE)	TBD			TBD			The TBD values were not available for the LID V1.65 release and may be added later.	Atlantis	
BAT_SOH	CAN Mapping	0	Traction Battery State of Health (SOH)	BATTERY_HV.BMS_HV_SOH	FD	Min=0 Max=127 Factor=1 Offset=0 InitialValue=0	TBD			The TBD values were not available for the LID V1.65 release and may be added later.	Atlantis	
