lid	sheet	row	scope	message	signal	can	fmt
SPAAK_Key_FriendlyNameChar20	CAN Mapping	1716	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar20	FD	See dbc
SPAAK_Key_FriendlyNameChar3	CAN Mapping	1717	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar3	FD	See dbc
SPAAK_Key_FriendlyNameChar4	CAN Mapping	1718	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar4	FD	See dbc
SPAAK_Key_FriendlyNameChar5	CAN Mapping	1719	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar5	FD	See dbc
SPAAK_Key_FriendlyNameChar6	CAN Mapping	1720	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar6	FD	See dbc
SPAAK_Key_FriendlyNameChar7	CAN Mapping	1721	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar7	FD	See dbc
SPAAK_Key_FriendlyNameChar8	CAN Mapping	1722	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar8	FD	See dbc
SPAAK_Key_FriendlyNameChar9	CAN Mapping	1723	Atlantis High	SPAAK_FD	SPAAK_Key_FriendlyNameChar9	FD	See dbc
SPAAK_Key_ID	CAN Mapping	1724	Atlantis High	SPAAK_FD	SPAAK_Key_ID	FD	See dbc
SPAAK_Key_MAC_Address	CAN Mapping	1725	Atlantis High	SPAAK_FD	SPAAK_Key_MAC_Address	FD	See dbc
SpaaK_TBM_Comm	CAN Mapping	1726	Atlantis High	Spaak_TBM_Comm	Spaak_TBM_Comm_Sig	FD	See dbc
SPAAKKeyIndex	CAN Mapping	1727	Atlantis High	SPAAK_Key	SPAAKKeyIndex	FD	0 = No Index\n1 = Index 1\n2 = Index 2\n.\n.\n.\n30 = Index 30\n31 = Reserved
SpdUnits	CAN Mapping	1728	Atlantis High	TELEMATIC_FD_11	SpdUnits	FD	0 = km_h\n1 = mph
SpdUnits_Cam	CAN Mapping	1729	Atlantis High	ADAS_FD_INFO2	SpdUnits_Cam	FD	0 = km_h\n1 = mph
Speed_Sign_Shape	CAN Mapping	1732	Atlantis High	ADAS_FD_INFO2	Speed_Sign_Shape	FD	0 = Not_Detected\n1 = Shape_1_Square\n2 = Shape_2_Round\n3 = TBD
Speedometer	CAN Mapping	1736	Atlantis High	STATUS_CCAN3	VehicleSpeedVSOSig	CAN-B	ATLANTIS\n13 bit signal\n0 - 511.875 km/h\nResolution = 0.0625 kmh
Speedometer	CAN Mapping	1736	Atlantis High	STATUS_CCAN3	VehicleSpeedVSOSigFailSts	CAN-B	ATLANTIS\n13 bit signal\n0 - 511.875 km/h\nResolution = 0.0625 kmh
Speedometer	CAN Mapping	1736	Atlantis High	BRAKE_FD_2	VehicleSpeedVSOSig	FD	ATLANTIS\n13 bit signal\n0 - 511.875 km/h\nResolution = 0.0625 kmh
SpeedUnit	CAN Mapping	1737	Atlantis High	IPC_VEHICLE_SETUP	Speed_Unit	FD	0 = mph\n1 = kph
SpSt_Pad1	CAN Mapping	1739	Atlantis High	BCM_FD_10	SpSt_Pad1	FD	Button Unpressed\nButton Pressed\nShort to Ground\nShort to Power\nIndeterminate\nSNA
SpSt_Pad2	CAN Mapping	1740	Atlantis High	BCM_FD_10	SpSt_Pad2	FD	Button Unpressed\nButton Pressed\nShort to Ground\nShort to Power\nIndeterminate\nSNA
SpStSwStat	CAN Mapping	1741	Atlantis High	ENGINE_FD_7	SpStSwStat	FD	0 = OFF\n1 = CONT\n2 = BLINK\n3 = SNA
SRS_LMP_STAT	CAN Mapping	1743	Atlantis High	IPC_FD_4	AirBagLamp_FailSts	FD	ATLANTIS\n2 bit signal\n0 = OFF_Fail_not_present\n1 = OFF_Fail_present\n2 = ON_Fail_not_present\n3 = BLINKING_Fail_not_present
SRT_1000ftTm_B	CAN Mapping	1744	Atlantis High	IPC_SRT_FD_2	SRT_1000ftTm_B	FD	
SRT_1000ftTm_C	CAN Mapping	1745	Atlantis High	IPC_SRT_FD_2	SRT_1000ftTm_C	FD	
SRT_1000ftTm_L	CAN Mapping	1746	Atlantis High	IPC_SRT_FD_2	SRT_1000ftTm_L	FD	
SRT_1000ftTmB	CAN Mapping	1747	Atlantis High	IPC_SRT_FD_2	SRT_1000ftTmB	FD	See dbc
SRT_1000ftTmC	CAN Mapping	1748	Atlantis High	IPC_SRT_FD_2	SRT_1000ftTmC	FD	See dbc
SRT_1000ftTmL	CAN Mapping	1749	Atlantis High	IPC_SRT_FD_2	SRT_1000ftTmL	FD	See dbc
SRT_100mphTm_B	CAN Mapping	1750	Atlantis High	IPC_SRT_FD_1	SRT_100mphTm_B	FD	
