name	kind	sources	seg1_atl_n	seg1_atlh_n	seg1_atl	seg1_atlh	seg1_other	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	seg3_side	result	note
Odo_Units_Change	PROXI	spec_paras	0	0			PROXI/Format/r477cF/R1 逐字						PROXI路徑(R-P375b/c)	
PAM_Configuration	PROXI	spec_paras	2	2	LID/Proxi & Configuration/r150cA/Logical Identifier/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r150cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r150cA/Logical Identifier/R4 R1 逐字+底線/大小寫 ; LID/Proxi & Configuration/r150cP/Atlantis Signal Name/R1 逐字	PROXI/Format/r516cF/R1 逐字			PROXI			PROXI路徑(R-P375b/c)	
Passive_Entry_Menu	PROXI	spec_paras	0	0			PROXI/Format/r298cF/R5 R1 逐字+去_Menu/_Setting ; PROXI/Format/r575cF/R1 逐字						PROXI路徑(R-P375b/c)	
Passive_Entry_Types	PROXI	spec_paras;spec_tables	0	0			PROXI/Format/r787cF/R1 逐字						PROXI路徑(R-P375b/c)	
Rain_Sensor	PROXI	spec_paras	0	0			PROXI/Format/r276cF/R1 逐字						PROXI路徑(R-P375b/c)	
Rear_View_Camera	PROXI	spec_paras	0	0			PROXI/Format/r401cF/R1 逐字						PROXI路徑(R-P375b/c)	
Remote_Door_Unlock_Menu	PROXI	spec_paras	0	0			PROXI/Format/r576cF/R1 逐字						PROXI路徑(R-P375b/c)	
Side_Distance_Warning	PROXI	spec_paras	3	3	LID/Proxi & Configuration/r173cP/Atlantis Signal Name/R1 逐字 ; LID/Proxi & Configuration/r176cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r176cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r173cP/Atlantis Signal Name/R1 逐字 ; LID/Proxi & Configuration/r176cA/Logical Identifier/R1 逐字 ; LID/Proxi & Configuration/r176cP/Atlantis Signal Name/R1 逐字	HMI_Settings/Settings/r315cB/R4 R1 逐字+底線/大小寫 ; PROXI/Format/r406cF/R1 逐字			PROXI	CFTS102		UI+PROXI 雙路徑	
Sound_Horn_Remote_Start_Menu	PROXI	spec_paras	0	0			PROXI/Format/r577cF/R1 逐字						PROXI路徑(R-P375b/c)	
Surround_View_Camera	PROXI	spec_paras	1	1	LID/Proxi & Configuration/r191cP/Atlantis Signal Name/R1 逐字	LID/Proxi & Configuration/r191cP/Atlantis Signal Name/R1 逐字	PROXI/Format/r761cF/R1 逐字			PROXI			PROXI路徑(R-P375b/c)	
Traffic_Sign_Recognition_Menu	PROXI	spec_paras	0	0			PROXI/Format/r676cF/R5 R1 逐字+去_Menu/_Setting ; PROXI/Format/r677cF/R1 逐字						PROXI路徑(R-P375b/c)	
Twilight_Sensor	PROXI	spec_paras	0	0			PROXI/Format/r471cF/R1 逐字						PROXI路徑(R-P375b/c)	
Tyre_Pressure_Unit_Menu	PROXI	spec_paras	0	0			PROXI/Format/r583cF/R1 逐字						PROXI路徑(R-P375b/c)	
AppPrivacyMode_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
App_ClearPersonalData_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
App_PrivacyMode_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
App_RestoreApp_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
App_RestoreDefaultSetting_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
Audio_Repetition_Setting.Req	Req	spec_paras	0	0			PROXI/Format/r530cF/R5 R2′ 去 .Req 後綴+去_Menu/_Setting ; PROXI/Format/r582cF/R5 R2′ 去 .Req 後綴+去_Menu/_Setting						PROXI路徑(R-P375b/c)	
Auto_High_Beam_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
Auto_Park_Brake_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
Auto_Unlock_Door_Exit_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
Blind_Spot_Detection_Setting.Req	Req	spec_paras	0	0									未解得(止於段1)	
ClearPersonalData_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
Consumption_Unit_Setting.Req	Req	037_desc;spec_paras	0	0									未解得(止於段1)	
Cornering_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
DRL_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
Day1_Setting.Req	Req	spec_paras	0	0									未解得(止於段1)	
Day2_Setting.Req	Req	spec_paras	0	0									未解得(止於段1)	
Distance_Unit_Setting.Req	Req	037_desc;spec_paras	0	0									未解得(止於段1)	
Drowsy_Driver_Alert_Enable.Req	Req	spec_paras	0	0									未解得(止於段1)	
DynamicGrid.Req	Req	037_desc;spec_paras	0	0									未解得(止於段1)	
Dynamic_Grid_Setting.Req	Req	spec_paras	0	0									未解得(止於段1)	
