name	kind	seg1_atl	seg1_atlh	seg2_atlantis	seg2_atlantis_high	can_atl	can_atlh	arch_diff	seg3_637	result
IPC_VEHICLE_SETUP2.TyrePressureUnit	CAN			IPC_VEHICLE_SETUP2.TyrePressureUnit					IPC_VEHICLE_SETUP2.TyrePressureUnit → BO_1486 IPC_VEHICLE_SETUP2 / SG_ TyrePressureUnit / VAL_ 有 3 項	解得
IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert	CAN			IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert					IPC_VEHICLE_SETUP3.Drowsy_Driver_Alert → BO_1294 IPC_VEHICLE_SETUP3 / SG_ Drowsy_Driver_Alert / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP3.SVC_Guidelines	CAN			IPC_VEHICLE_SETUP3.SVC_Guidelines					IPC_VEHICLE_SETUP3.SVC_Guidelines → BO_1294 IPC_VEHICLE_SETUP3 / SG_ SVC_Guidelines / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP3.Speed_Unit	CAN	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫	LID/CAN Mapping/r1737cA/Logical Identifier/R4 R2 去 MESSAGE. 前綴+底線/大小寫 ; LID/CAN Mapping/r1737cB/Function/R4 R2 去 MESSAGE. 前綴+底線/大小寫	IPC_VEHICLE_SETUP.DistanceUnit;IPC_VEHICLE_SETUP.Speed_Unit	IPC_VEHICLE_SETUP.Speed_Unit		FD	YES	IPC_VEHICLE_SETUP.DistanceUnit → BO_1468 IPC_VEHICLE_SETUP / SG_ DistanceUnit / VAL_ 有 2 項 ; IPC_VEHICLE_SETUP.Speed_Unit → SG_ Speed_Unit 在 BO_ IPC_VEHICLE_SETUP3（與規格訊息名 IPC_VEHICLE_SETUP 不符）	解得
IPC_VEHICLE_SETUP4.GreetingLightsLevel	CAN			IPC_VEHICLE_SETUP4.GreetingLightsLevel					IPC_VEHICLE_SETUP4.GreetingLightsLevel → BO_1485 IPC_VEHICLE_SETUP4 / SG_ GreetingLightsLevel / VAL_ 有 4 項	解得
IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable	CAN			IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable					IPC_VEHICLE_SETUP4.HeadlampOnWithWiperEnable → BO_1485 IPC_VEHICLE_SETUP4 / SG_ HeadlampOnWithWiperEnable / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind	CAN			IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind					IPC_VEHICLE_SETUP4.New_Spd_Zone_Ind → BO_1485 IPC_VEHICLE_SETUP4 / SG_ New_Spd_Zone_Ind / VAL_ 有 4 項	解得
IPC_VEHICLE_SETUP4.SignCaptureMode	CAN			IPC_VEHICLE_SETUP4.SignCaptureMode					IPC_VEHICLE_SETUP4.SignCaptureMode → BO_1485 IPC_VEHICLE_SETUP4 / SG_ SignCaptureMode / VAL_ 有 2 項	解得
IPC_VEHICLE_SETUP4.Traffic_Sign_Warn	CAN			IPC_VEHICLE_SETUP4.Traffic_Sign_Warn					IPC_VEHICLE_SETUP4.Traffic_Sign_Warn → BO_1485 IPC_VEHICLE_SETUP4 / SG_ Traffic_Sign_Warn / VAL_ 有 3 項	解得
SERVICE_SETUP.ClearPersonalData	CAN	LID/CAN Mapping/r381cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r381cP/Atlantis Signal Name/R1 逐字	SERVICE_SETUP.ClearPersonalData	TBM_SCHEDULE_FD_2.ClearPersonalData			YES	SERVICE_SETUP.ClearPersonalData → BO_1446 SERVICE_SETUP / SG_ ClearPersonalData / VAL_ 有 2 項	解得
SERVICE_SETUP.PrivacyMode	CAN	LID/CAN Mapping/r1398cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1398cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1398cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r1398cP/Atlantis Signal Name/R1 逐字	SERVICE_SETUP.PrivacyMode	TBM_SCHEDULE_FD_2.PrivacyMode	CAN-B	FD	YES	SERVICE_SETUP.PrivacyMode → BO_1446 SERVICE_SETUP / SG_ PrivacyMode / VAL_ 有 2 項	解得
SERVICE_SETUP.RestoreApp	CAN	LID/CAN Mapping/r382cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r382cP/Atlantis Signal Name/R1 逐字	SERVICE_SETUP.RestoreApp	TBM_SCHEDULE_FD_2.RestoreApp			YES	SERVICE_SETUP.RestoreApp → BO_1446 SERVICE_SETUP / SG_ RestoreApp / VAL_ 有 2 項	解得
SERVICE_SETUP.RestoreDefaulSetting	CAN			SERVICE_SETUP.RestoreDefaulSetting					查無：SERVICE_SETUP.RestoreDefaulSetting	未解得(止於段3)
SERVICE_SETUP.RestoreDefaultSetting	CAN	LID/CAN Mapping/r383cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r383cP/Atlantis Signal Name/R1 逐字	SERVICE_SETUP.RestoreDefaultSetting	TBM_SCHEDULE_FD_2.RestoreDefaultSetting			YES	SERVICE_SETUP.RestoreDefaultSetting → BO_1446 SERVICE_SETUP / SG_ RestoreDefaultSetting / VAL_ 有 2 項	解得
SERVICE_SETUP.TelematicSetupACK	CAN			SERVICE_SETUP.TelematicSetupACK					SERVICE_SETUP.TelematicSetupACK → SG_ TelematicSetupACK 在 BO_ IPC_VEHICLE_SETUP（與規格訊息名 SERVICE_SETUP 不符）	訊息名不符(R-13)
SERVICE_SETUP.TelematicSetupAck	CAN			SERVICE_SETUP.TelematicSetupAck					SERVICE_SETUP.TelematicSetupAck → BO_1446 SERVICE_SETUP / SG_ TelematicSetupAck / VAL_ 有 3 項	解得
STATUS_CCAN3.VehicleSpeedVSOSig	CAN	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2329cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r1736cC/Object Text/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2321cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r2329cP/Atlantis Signal Name/R1 逐字	STATUS_CCAN3.VehicleSpeedVSOSig	BRAKE_FD_2.VehicleSpeedVSOSig;IPC_FD_5.VehSpdDisp		CAN-B FD;FD	YES	STATUS_CCAN3.VehicleSpeedVSOSig → BO_994 STATUS_CCAN3 / SG_ VehicleSpeedVSOSig / VAL_ 有 1 項	解得
STATUS_CCAN3.VehicleSpeedVSOSigFailSts	CAN			STATUS_CCAN3.VehicleSpeedVSOSigFailSts					STATUS_CCAN3.VehicleSpeedVSOSigFailSts → BO_994 STATUS_CCAN3 / SG_ VehicleSpeedVSOSigFailSts / VAL_ 有 2 項	解得
STATUS_TTM.TrailerConnectionSts	CAN			STATUS_TTM.TrailerConnectionSts					STATUS_TTM.TrailerConnectionSts → BO_1464 STATUS_TTM / SG_ TrailerConnectionSts / VAL_ 有 4 項	解得
TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq	CAN	LID/CAN Mapping/r342cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r342cP/Atlantis Signal Name/R1 逐字	LID/CAN Mapping/r342cA/Logical Identifier/R2 去 MESSAGE. 前綴 ; LID/CAN Mapping/r342cP/Atlantis Signal Name/R1 逐字	TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq	TELEMATIC_VEHICLE_SETUP.ClearPersonalDataReq			YES	TELEMATIC_SERVICE_SETUP.ClearPersonalDataReq → BO_170 TELEMATIC_SERVICE_SETUP / SG_ ClearPersonalDataReq / VAL_ 有 2 項	解得
